id,email,name,password,role,createdAt,updatedAt
1,test@test.com,Test User,$2b$10$eh5KR/2DoQ5Ic5RcGgyyDuWBrs034CmJrzFQhXyubq2cpTaUL9xCS,user,2026-02-23 14:57:48.816,2026-02-23 14:57:48.816
2,admin@admin.com,Admin User,$2b$10$7iFMfsmxD1XOW4ho/SHeQubrd8Y4XYAkNDTX8H5obYh2Wb/M5FEFm,admin,2026-02-23 14:57:49.735,2026-02-23 14:57:49.735
3,teacher@teacher.com,Dr. John Smith,$2b$10$eh5KR/2DoQ5Ic5RcGgyyDuWBrs034CmJrzFQhXyubq2cpTaUL9xCS,teacher,2026-02-23 14:57:50.015,2026-02-23 14:57:50.015
4,teacher2@teacher.com,Prof. Sarah Johnson,$2b$10$eh5KR/2DoQ5Ic5RcGgyyDuWBrs034CmJrzFQhXyubq2cpTaUL9xCS,teacher,2026-02-23 14:57:50.259,2026-02-23 14:57:50.259
5,teacher3@teacher.com,Dr. Michael Chen,$2b$10$eh5KR/2DoQ5Ic5RcGgyyDuWBrs034CmJrzFQhXyubq2cpTaUL9xCS,teacher,2026-02-23 14:57:50.652,2026-02-23 14:57:50.652
6,rohit@pict.edu,mr.rohit,$2b$10$oxHWMtshp/lUK7kfoM/NEOGQvi0fLGYlNQX812.12V3o3n2MqG9MC,teacher,2026-02-23 17:20:59.773,2026-02-23 17:20:59.773
7,rahul@pict.edu,mr.rahul,$2b$10$A614kCn9TJfxIDbeR2JthuyKq3iwOTKlNH1iELFe51C.VsMUuiJHG,teacher,2026-02-23 17:21:02.764,2026-02-23 17:21:02.764
8,mohit@pict.edu,mr.mohit,$2b$10$ThDZXj//yU1T87uZf5ClZeH1UWMD9//hk28EFSILILQ.7iL6LEBp6,teacher,2026-02-23 17:21:04.688,2026-02-23 17:21:04.688
11,42341@student.erp,rushi,$2b$10$l2jB3nzh58uDAVlK4xUtvezvDLxVPaxvRE/EBKbKbQG/iK50BT/a2,user,2026-02-23 18:44:08.245,2026-02-23 18:44:08.245
12,42321@student.erp,mak,$2b$10$l2jB3nzh58uDAVlK4xUtvezvDLxVPaxvRE/EBKbKbQG/iK50BT/a2,user,2026-02-23 18:44:12.404,2026-02-23 18:44:12.404
13,10001@student.erp,Aarav Kapoor,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:28.980,2026-03-05 08:39:28.980
14,10002@student.erp,Aditya Kapoor,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:29.031,2026-03-05 08:39:29.031
15,10003@student.erp,Akash Desai,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:29.063,2026-03-05 08:39:29.063
16,10004@student.erp,Ananya Nair,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:29.103,2026-03-05 08:39:29.103
17,10005@student.erp,Arjun Das,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:29.133,2026-03-05 08:39:29.133
18,10006@student.erp,Aryan Ghosh,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:29.164,2026-03-05 08:39:29.164
19,10007@student.erp,Ayesha Ghosh,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:29.195,2026-03-05 08:39:29.195
20,10008@student.erp,Bhavya Chopra,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:29.226,2026-03-05 08:39:29.226
21,10009@student.erp,Chirag Reddy,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:29.256,2026-03-05 08:39:29.256
22,10010@student.erp,Deepak Bhat,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:29.286,2026-03-05 08:39:29.286
23,10011@student.erp,Diya Gupta,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:29.317,2026-03-05 08:39:29.317
24,10012@student.erp,Eshan Rao,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:29.347,2026-03-05 08:39:29.347
25,10013@student.erp,Farhan Kapoor,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:29.377,2026-03-05 08:39:29.377
26,10014@student.erp,Gaurav Malhotra,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:29.408,2026-03-05 08:39:29.408
27,10015@student.erp,Harini Patel,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:29.469,2026-03-05 08:39:29.469
28,10016@student.erp,Ishaan Pillai,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:29.508,2026-03-05 08:39:29.508
29,10017@student.erp,Jaya Mehta,$2b$10$XwgpAycC39V9SV8vRqbwq.hvATV9vaENBzUVCkMJmzXpNhujCQSvy,user,2026-03-05 08:39:29.575,2026-03-05 08:39:29.575
